class_code,subject_name,professor,classroom,day,period,level,number_of_credit,content_of_class,evaluation_system,class_url
LANE102F,Intensive English (Reading)  H,ミューライゼン　ヴィクトリア　他,教室未定,土,4,英語I,1,"This course emphasizes the use of critical thinking skills when reading English texts. Students will analyze, synthesize and evaluate articles on academic and ethical issues. The articles are from publications such as magazines and newspapers and are in their original form.The goal of this course is for students to develop the habit of analyzing the information presented in readings, synthesizing this information with their own knowledge of the topic, and evaluating the strength of the logic and evidence intended to support the writer’s main ideas.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Journals (5 times)', 'Journals: Students are to write journals on the readings from the class. These will be collected and assessed 5 times each during the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200592018210CO1020021&pLng=jp
LANE103F,Intensive English (Listening)  A,ミューライゼン　ヴィクトリア　他,教室未定,木,3,英語I,1,"This course is designed to prepare students for academic lectures in English.Students practice using note-taking strategies to record the contents of academic lectures. The strategies include such skills as taking notes in an outline format to separate major ideas and minor details, abbreviation, and listening for large numbers. The notes will be assessed based on accuracy of the content as well as use of the note-taking skills taught.Outside class, students have the opportunity to develop their listening further with practice exercises similar to one of the speaking sections in TOEFL iBT.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '20％', 'Final Examination (in lesson 15)', 'Final Examination: Students will have a final examination in lesson 15.', 'レポート:', '40％', 'Notes and summaries (5 times)', 'Notes and summaries: Students’ notes and summaries will be collected and assessed 5 times during the semester (only 4 will be factored into the final grade). ', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', 'その他:', '20％', 'TOEFL iBT Speaking Tasks (3 times)', 'TOEFL iBT Speaking Tasks: 3 times in the semester, the students’ listening and speaking abilities will be assessed by the instructor.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300512018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  B,ミューライゼン　ヴィクトリア　他,教室未定,木,3,英語I,1,"This course is designed to prepare students for academic lectures in English.Students practice using note-taking strategies to record the contents of academic lectures. The strategies include such skills as taking notes in an outline format to separate major ideas and minor details, abbreviation, and listening for large numbers. The notes will be assessed based on accuracy of the content as well as use of the note-taking skills taught.Outside class, students have the opportunity to develop their listening further with practice exercises similar to one of the speaking sections in TOEFL iBT.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '20％', 'Final Examination (in lesson 15)', 'Final Examination: Students will have a final examination in lesson 15.', 'レポート:', '40％', 'Notes and summaries (5 times)', 'Notes and summaries: Students’ notes and summaries will be collected and assessed 5 times during the semester (only 4 will be factored into the final grade). ', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', 'その他:', '20％', 'TOEFL iBT Speaking Tasks (3 times)', 'TOEFL iBT Speaking Tasks: 3 times in the semester, the students’ listening and speaking abilities will be assessed by the instructor.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300522018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  C,ミューライゼン　ヴィクトリア　他,教室未定,木,4,英語I,1,"This course is designed to prepare students for academic lectures in English.Students practice using note-taking strategies to record the contents of academic lectures. The strategies include such skills as taking notes in an outline format to separate major ideas and minor details, abbreviation, and listening for large numbers. The notes will be assessed based on accuracy of the content as well as use of the note-taking skills taught.Outside class, students have the opportunity to develop their listening further with practice exercises similar to one of the speaking sections in TOEFL iBT.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '20％', 'Final Examination (in lesson 15)', 'Final Examination: Students will have a final examination in lesson 15.', 'レポート:', '40％', 'Notes and summaries (5 times)', 'Notes and summaries: Students’ notes and summaries will be collected and assessed 5 times during the semester (only 4 will be factored into the final grade). ', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', 'その他:', '20％', 'TOEFL iBT Speaking Tasks (3 times)', 'TOEFL iBT Speaking Tasks: 3 times in the semester, the students’ listening and speaking abilities will be assessed by the instructor.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300532018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  D,ミューライゼン　ヴィクトリア　他,教室未定,木,5,英語I,1,"This course is an advanced-level English course. It is designed to give students practice in listening to native-level English, thinking critically, and participating in academic discussion in English.The listening materials are from two sources:1.National Public Radio (NPR) - an American producer of radio programs 2.The students - Opinions shared in the fishbowl are evaluated by other studentsStudents express opinions on the topics in academic discussions with their classmates. The discussions are “fishbowl” style - where those participating in the discussion are observed and assessed by their classmates and the instructor.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Fishbowl discussion and participant’s report (20%)', 'Fishbowl observer’s report (30%)', 'Fishbowl Discussion: Students are to do at least 1 fishbowl discussion in the semester and a report analyzing their discussion. Students also are to prepare comments analyzing the fishbowls they observe.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300552018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  E,ミューライゼン　ヴィクトリア　他,教室未定,木,3,英語I,1,"This course is an advanced-level English course. It is designed to give students practice in listening to native-level English, thinking critically, and participating in academic discussion in English.The listening materials are from two sources:1.National Public Radio (NPR) - an American producer of radio programs 2.The students - Opinions shared in the fishbowl are evaluated by other studentsStudents express opinions on the topics in academic discussions with their classmates. The discussions are “fishbowl” style - where those participating in the discussion are observed and assessed by their classmates and the instructor.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Fishbowl discussion and participant’s report (20%)', 'Fishbowl observer’s report (30%)', 'Fishbowl Discussion: Students are to do at least 1 fishbowl discussion in the semester and a report analyzing their discussion. Students also are to prepare comments analyzing the fishbowls they observe.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300562018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  F,ミューライゼン　ヴィクトリア　他,教室未定,木,4,英語I,1,"This course is an advanced-level English course. It is designed to give students practice in listening to native-level English, thinking critically, and participating in academic discussion in English.The listening materials are from two sources:1.National Public Radio (NPR) - an American producer of radio programs 2.The students - Opinions shared in the fishbowl are evaluated by other studentsStudents express opinions on the topics in academic discussions with their classmates. The discussions are “fishbowl” style - where those participating in the discussion are observed and assessed by their classmates and the instructor.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Fishbowl discussion and participant’s report (20%)', 'Fishbowl observer’s report (30%)', 'Fishbowl Discussion: Students are to do at least 1 fishbowl discussion in the semester and a report analyzing their discussion. Students also are to prepare comments analyzing the fishbowls they observe.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300572018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  G,ミューライゼン　ヴィクトリア　他,教室未定,木,4,英語I,1,"This course is an advanced-level English course. It is designed to give students practice in listening to native-level English, thinking critically, and participating in academic discussion in English.The listening materials are from two sources:1.National Public Radio (NPR) - an American producer of radio programs 2.The students - Opinions shared in the fishbowl are evaluated by other studentsStudents express opinions on the topics in academic discussions with their classmates. The discussions are “fishbowl” style - where those participating in the discussion are observed and assessed by their classmates and the instructor.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Fishbowl discussion and participant’s report (20%)', 'Fishbowl observer’s report (30%)', 'Fishbowl Discussion: Students are to do at least 1 fishbowl discussion in the semester and a report analyzing their discussion. Students also are to prepare comments analyzing the fishbowls they observe.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300582018210CO1030021&pLng=jp
LANE103F,Intensive English (Listening)  H,ミューライゼン　ヴィクトリア　他,教室未定,木,5,英語I,1,"This course is an advanced-level English course. It is designed to give students practice in listening to native-level English, thinking critically, and participating in academic discussion in English.The listening materials are from two sources:1.National Public Radio (NPR) - an American producer of radio programs 2.The students - Opinions shared in the fishbowl are evaluated by other studentsStudents express opinions on the topics in academic discussions with their classmates. The discussions are “fishbowl” style - where those participating in the discussion are observed and assessed by their classmates and the instructor.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Fishbowl discussion and participant’s report (20%)', 'Fishbowl observer’s report (30%)', 'Fishbowl Discussion: Students are to do at least 1 fishbowl discussion in the semester and a report analyzing their discussion. Students also are to prepare comments analyzing the fishbowls they observe.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10300592018210CO1030021&pLng=jp
LANE105F,"English Academic Writing, Level 1  W-02",ミューライゼン　ヴィクトリア　他,教室未定,火,4,英語III,2,"This course introduces students to the basics of English academic writing. Students will begin by learning how to write a coherent paragraph and then apply the skill to writing a five-paragraph essay. They will learn how to create an effective thesis statement, topic sentences, introduction and conclusion, as well as how to organize supporting sentences logically. The course will also focus on other essential skills for academic writing, such as paraphrasing, summarizing and citation. Practice for the TOEFL writing component is also incorporated in the course.*Students will be assigned to a class based on their answers to a questionnaire on writing experience together with the results of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['レポート:', '65％', 'Writing Task 1 (Paragraph) (15%)', 'Writing Task 2 (Essay 1) (25%)', 'Writing Task 3 (Essay 2) (25%)', '平常点評価:', '15％', 'Participation and Preparation', 'その他:', '20％', 'Paraphrasing and Summarizing Quiz (10%)', 'TOEFL Essay Practice (Independent Writing Task) (10%)', '備考・関連URL', '・Students must submit 4 of 5 assessed tasks (Writing Task 1, Writing Task 2, Writing Task 3, In-class Paraphrasing and Summarizing Quiz, and TOEFL In-class Practice (Independent Writing Task)) in order to pass the course. ・Participation and Preparation: Students must attend a minimum of 20 lessons in order to pass the course.・Failure to meet either of these requirements will result in automatic failure of the course. ・Regular attendance and active course participation is important. This includes class preparation, doing the assigned readings, class discussions, writing, self and peer-editing, and revising writing assignments. ・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO12500522018210CO1250021&pLng=jp
LANE105F,"English Academic Writing, Level 1  W-02",ミューライゼン　ヴィクトリア　他,教室未定,金,4,英語III,2,"This course introduces students to the basics of English academic writing. Students will begin by learning how to write a coherent paragraph and then apply the skill to writing a five-paragraph essay. They will learn how to create an effective thesis statement, topic sentences, introduction and conclusion, as well as how to organize supporting sentences logically. The course will also focus on other essential skills for academic writing, such as paraphrasing, summarizing and citation. Practice for the TOEFL writing component is also incorporated in the course.*Students will be assigned to a class based on their answers to a questionnaire on writing experience together with the results of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['レポート:', '65％', 'Writing Task 1 (Paragraph) (15%)', 'Writing Task 2 (Essay 1) (25%)', 'Writing Task 3 (Essay 2) (25%)', '平常点評価:', '15％', 'Participation and Preparation', 'その他:', '20％', 'Paraphrasing and Summarizing Quiz (10%)', 'TOEFL Essay Practice (Independent Writing Task) (10%)', '備考・関連URL', '・Students must submit 4 of 5 assessed tasks (Writing Task 1, Writing Task 2, Writing Task 3, In-class Paraphrasing and Summarizing Quiz, and TOEFL In-class Practice (Independent Writing Task)) in order to pass the course. ・Participation and Preparation: Students must attend a minimum of 20 lessons in order to pass the course.・Failure to meet either of these requirements will result in automatic failure of the course. ・Regular attendance and active course participation is important. This includes class preparation, doing the assigned readings, class discussions, writing, self and peer-editing, and revising writing assignments. ・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO12500522018210CO1250021&pLng=jp
